title,function,function_group,industries,industry_group,cluster
"reception/administration support, part-time",administrative,Administrative and Support,retail,Retail and Consumer Goods,6
call center agent (paraguay),other,Other,consumer services,Retail and Consumer Goods,6
sales manager,,Other,,Other,6
assistant head chef,"general business,management,business development",Management and Leadership,"food,beverage services",Food and Beverage,6
executive assistant to the ceo (dubai - french & english fluent),administrative,Administrative and Support,education,Other,6
sales manager,,Other,,Other,6
medical billing specialist,health care provider,Healthcare and Science,"hospitals,health care",Healthcare and Pharmaceuticals,6
communications intern,,Other,,Other,6
looking for a mystery shoppers,,Other,,Other,6
quality control microbiology specialist,quality assurance,Manufacturing and Engineering,biotechnology research,Healthcare and Pharmaceuticals,6
garment technologist,,Other,,Other,6
customer service sales representative,,Other,,Other,6
